Code,Country,Population,LifeExpectancy
NOR,Norway,4478500,76.5
DNK,Denmark,5330000,76.5
ISL,Iceland,279000,79.4
CHE,Switzerland,7160400,79.6
FIN,Finland,5171300,77.4
NLD,Netherlands,15864000,78.3
CAN.,Canada,31147000,79.4
NZL,New Zealand,3862000,77.8
AUS,Australia,18886000,79.8
SWE,Sweden,8861400,79.6
ISR,Israel,6217000,78.6
CRI,Costa Rica,4023000,75.8
AUT,Austria,8091800,77.7
USA,United States,278357000,77.1
IRL,Ireland,3775100,76.8
DEU,Germany,82164700,77.4
BEL,Belgium,10239000,77.8
LUX,Luxembourg,435700,77.1
GBR,England,59623400,77.7
CHL,Chile,15211000,75.7
